source_id,source_type,category,priority,title,description,technical_details,component,is_duplicate,duplicate_of,quality_score,confidence
R001,app_review,Bug,Critical,App Crash on Settings Page,Source: app_review. Original feedback: App crashes every time I try to open the settings page. Started after the latest update. Using Pixel 7 on Android 14. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""App crashes every time I try to open the settings page. Started after the latest update. Using Pixel 7 on Android 14."", ""device"": ""pixel 7"", ""os"": ""android 14"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Settings"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",Settings,True,E001,0.98,0.94
R003,app_review,Bug,High,Login Authentication Failure After Update,Source: app_review. Original feedback: Can't login since the last update. I've tried resetting my password three times but still get 'Authentication Failed' error. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""1. Open the login screen. 2. Enter credentials. 3. Submit the form. 4. Observe the authentication failure."", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""High"", ""component"": ""Authentication"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Recent auth token validation changes may be rejecting valid sessions.""}",Authentication,True,E002,0.98,0.94
R004,app_review,Feature Request,Medium,Feature Request: Dark Mode Support,Source: app_review. Original feedback: Great app overall but would love to see a dark mode option. My eyes hurt using it at night. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add dark mode support"", ""user_benefit"": ""Improves usability in low-light settings and reduces eye strain."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""8.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add dark mode support,True,E003,0.9,0.93
R005,app_review,Bug,Critical,Data Sync Broken Between Devices,Source: app_review. Original feedback: Data sync is completely broken. My tasks on phone don't match what's on the web. Lost 2 hours of work! This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.1"", ""severity"": ""Critical"", ""component"": ""Sync"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Background sync queue or conflict resolution may be failing.""}",Sync,True,E004,0.98,0.91
R007,app_review,Feature Request,Medium,Feature Request: Calendar Integration,Source: app_review. Original feedback: Please add calendar integration with Google Calendar. I have to manually copy events which is frustrating. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add calendar integration"", ""user_benefit"": ""Helps users manage tasks alongside existing schedules."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""4.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add calendar integration,True,E005,0.9,0.93
R008,app_review,Bug,High,Dashboard Performance Degradation,"Source: app_review. Original feedback: App is extremely slow since version 3.2. Takes 10+ seconds to load the dashboard. iPhone 14 Pro, iOS 17.3. This affects core app functionality and should be investigated by engineering.","{""steps_to_reproduce"": ""not provided"", ""device"": ""iphone 14 pro"", ""os"": ""ios 17.3"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Dashboard"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Dashboard query or rendering path may be regressing with larger datasets.""}",Dashboard,True,E006,0.98,0.91
R009,app_review,Feature Request,Low,Feature Request: Recurring Task Templates,Source: app_review. Original feedback: Would be great to have recurring task templates. I create the same tasks every Monday and it's tedious. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add recurring task templates"", ""user_benefit"": ""Improves user productivity and reduces workflow friction."", ""impact_score"": 6, ""user_segment"": ""power_users"", ""already_planned"": ""false"", ""planned_version"": ""none"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Low""}",Add recurring task templates,True,R024,0.9,0.93
R010,app_review,Bug,Critical,Bug: Feedback Review Needed,Source: app_review. Original feedback: The app logged me out and lost all my local data. This is unacceptable for a productivity app! This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""Critical"", ""component"": ""General"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""unknown""}",General,True,E007,0.98,0.94
R012,app_review,Bug,High,Push Notifications Completely Non-Functional,Source: app_review. Original feedback: Push notifications stopped working completely. I missed 3 important deadlines because of this bug. This affects core app functionality and should be investigated by engineering.,"{""steps_to_reproduce"": ""not provided"", ""device"": ""unknown"", ""os"": ""unknown"", ""app_version"": ""3.2.0"", ""severity"": ""High"", ""component"": ""Notifications"", ""known_bug_match"": ""BUG-101"", ""root_cause_hint"": ""Notification registration or badge count refresh may be out of sync.""}",Notifications,True,E008,0.98,0.91
R013,app_review,Feature Request,Medium,Feature Request: Offline Mode,Source: app_review. Original feedback: The app is okay but really needs offline mode. I travel frequently and can't always rely on internet. This request should be evaluated for roadmap fit and user demand.,"{""feature_summary"": ""Add offline mode"", ""user_benefit"": ""Allows uninterrupted productivity without connectivity."", ""impact_score"": 7, ""user_segment"": ""all_users"", ""already_planned"": ""true"", ""planned_version"": ""8.0"", ""existing_workaround"": ""none"", ""priority_suggestion"": ""Medium""}",Add offline mode,True,TICKET:R013,0.9,0.93
R014,app_review,Complaint,Medium,Complaint: Pricing Too Expensive,Source: app_review. Original feedback: Too expensive for what it offers. $9.99/month when competitors charge half that. Considering switching. This complaint should be reviewed for customer experience follow-up.,N/A,Customer Experience,True,E009,0.9,0.82
